userId,cluster
1,2
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,2
14,1
15,1
16,0
17,2
18,3
19,2
20,0
21,0
22,2
23,2
24,1
25,3
26,1
27,0
28,2
29,2
30,0
31,0
32,2
33,1
34,0
35,1
36,2
37,2
38,1
39,2
40,1
41,0
42,2
43,0
44,2
45,2
46,1
47,2
48,2
49,2
50,2
51,0
52,0
53,0
54,1
55,0
56,1
57,2
58,1
59,2
60,3
61,3
62,3
63,3
64,0
65,0
66,3
67,0
68,0
69,2
70,0
71,0
72,2
73,0
74,2
75,0
76,2
77,0
78,0
79,2
80,0
81,1
82,2
83,3
84,1
85,0
86,3
87,0
88,3
89,0
90,2
91,2
92,2
93,1
94,1
95,2
96,2
97,2
98,0
99,1
100,0
101,2
102,1
103,3
104,0
105,3
106,0
107,1
108,0
109,1
110,2
111,0
112,2
113,2
114,0
115,2
116,0
117,1
118,2
119,3
120,2
121,1
122,2
123,0
124,3
125,3
126,1
127,0
128,0
129,0
130,3
131,3
132,0
133,1
134,1
135,2
136,1
137,2
138,2
139,0
140,1
141,0
142,1
143,0
144,3
145,1
146,2
147,2
148,0
149,2
150,0
151,2
152,3
153,3
154,0
155,2
156,2
157,0
158,2
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,3
167,0
168,2
169,0
170,1
171,3
172,0
173,0
174,0
175,2
176,1
177,0
178,3
179,1
180,2
181,1
182,0
183,1
184,0
185,0
186,0
187,2
188,0
189,0
190,0
191,1
192,0
193,2
194,2
195,3
196,0
197,2
198,1
199,2
200,0
201,0
202,2
203,3
204,3
205,2
206,0
207,2
208,2
209,3
210,0
211,0
212,0
213,0
214,0
215,0
216,2
217,0
218,2
219,0
220,0
221,2
222,0
223,0
224,0
225,2
226,0
227,3
228,2
229,1
230,0
231,2
232,0
233,3
234,2
235,1
236,2
237,3
238,0
239,3
240,0
241,0
242,1
243,0
244,2
245,2
246,0
247,3
248,0
249,0
250,0
251,3
252,0
253,0
254,3
255,0
256,0
257,0
258,3
259,0
260,3
261,3
262,0
263,0
264,0
265,0
266,2
267,0
268,2
269,0
270,0
271,0
272,0
273,2
274,0
275,2
276,0
277,0
278,1
279,2
280,0
281,0
282,3
283,1
284,1
285,2
286,3
287,0
288,2
289,0
290,2
291,0
292,0
293,1
294,2
295,3
296,3
297,2
298,2
299,3
300,0
301,3
302,2
303,2
304,2
305,3
306,0
307,0
308,0
309,0
310,2
311,2
312,2
313,2
314,1
315,0
316,0
317,3
318,3
319,3
320,0
321,0
322,3
323,1
324,2
325,2
326,0
327,2
328,0
329,0
330,3
331,3
332,2
333,0
334,0
335,2
336,3
337,0
338,3
339,3
340,1
341,0
342,0
343,3
344,0
345,0
346,2
347,0
348,3
349,1
350,0
351,3
352,3
353,1
354,3
355,2
356,0
357,0
358,0
359,0
360,2
361,0
362,2
363,3
364,0
365,0
366,3
367,1
368,2
369,3
370,3
371,2
372,2
373,1
374,3
375,3
376,0
377,2
378,0
379,1
380,0
381,0
382,0
383,0
384,2
385,2
386,1
387,2
388,0
389,0
390,3
391,2
392,2
393,0
394,1
395,0
396,2
397,2
398,0
399,0
400,3
401,0
402,0
403,3
404,1
405,2
406,0
407,3
408,0
409,2
410,0
411,1
412,2
413,0
414,2
415,3
416,0
417,3
418,3
419,3
420,3
421,1
422,2
423,1
424,0
425,3
426,0
427,3
428,2
429,1
430,2
431,2
432,0
433,3
434,3
435,3
436,1
437,2
438,0
439,3
440,2
441,0
442,0
443,0
444,1
445,2
446,1
447,3
448,2
449,3
450,2
451,0
452,2
453,3
454,2
455,1
456,0
457,0
458,1
459,3
460,3
461,0
462,2
463,3
464,3
465,2
466,0
467,0
468,1
469,2
470,1
471,0
472,2
473,0
474,0
475,0
476,1
477,2
478,0
479,2
480,0
481,2
482,0
483,3
484,0
485,1
486,1
487,0
488,0
489,0
490,3
491,0
492,0
493,2
494,1
495,0
496,3
497,0
498,1
499,2
500,2
501,0
502,3
503,3
504,0
505,3
506,0
507,0
508,0
509,0
510,2
511,3
512,1
513,2
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,2
522,0
523,3
524,2
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,2
533,0
534,0
535,2
536,1
537,0
538,0
539,0
540,2
541,1
542,0
543,0
544,0
545,0
546,0
547,2
548,0
549,0
550,0
551,0
552,0
553,3
554,0
555,2
556,0
557,3
558,0
559,1
560,3
561,0
562,0
563,0
564,0
565,1
566,1
567,0
568,1
569,0
570,2
571,2
572,2
573,0
574,1
575,3
576,2
577,1
578,0
579,0
580,3
581,2
582,0
583,0
584,1
585,3
586,0
587,0
588,1
589,1
590,2
591,0
592,1
593,3
594,1
595,2
596,0
597,2
598,0
599,2
600,2
601,3
602,1
603,2
604,1
605,0
606,0
607,1
608,2
609,1
610,0
