userId,cluster
1,1
2,0
3,0
4,1
5,2
6,2
7,3
8,2
9,3
10,0
11,2
12,0
13,3
14,2
15,2
16,0
17,2
18,3
19,0
20,0
21,0
22,1
23,1
24,2
25,2
26,2
27,0
28,1
29,1
30,3
31,0
32,1
33,2
34,0
35,2
36,1
37,1
38,2
39,3
40,2
41,3
42,2
43,0
44,0
45,3
46,2
47,2
48,0
49,0
50,1
51,0
52,3
53,0
54,2
55,3
56,2
57,1
58,2
59,1
60,2
61,3
62,3
63,3
64,3
65,3
66,3
67,0
68,0
69,1
70,1
71,0
72,2
73,3
74,1
75,0
76,1
77,0
78,0
79,1
80,3
81,2
82,0
83,2
84,2
85,2
86,3
87,3
88,3
89,0
90,1
91,1
92,0
93,2
94,2
95,1
96,1
97,3
98,3
99,2
100,0
101,1
102,2
103,3
104,0
105,3
106,3
107,2
108,0
109,2
110,1
111,0
112,3
113,1
114,0
115,1
116,0
117,2
118,1
119,3
120,1
121,2
122,1
123,0
124,3
125,3
126,2
127,1
128,2
129,3
130,3
131,1
132,3
133,2
134,2
135,1
136,2
137,1
138,0
139,3
140,2
141,3
142,2
143,2
144,3
145,2
146,3
147,0
148,0
149,1
150,0
151,0
152,3
153,3
154,3
155,0
156,1
157,3
158,0
159,0
160,1
161,3
162,2
163,0
164,2
165,0
166,3
167,3
168,1
169,2
170,2
171,1
172,3
173,0
174,0
175,1
176,2
177,0
178,3
179,2
180,1
181,2
182,1
183,2
184,3
185,3
186,0
187,1
188,0
189,0
190,3
191,2
192,0
193,1
194,3
195,2
196,0
197,0
198,3
199,1
200,3
201,0
202,1
203,2
204,3
205,0
206,1
207,3
208,2
209,3
210,0
211,3
212,3
213,3
214,0
215,3
216,1
217,0
218,1
219,3
220,2
221,1
222,3
223,3
224,0
225,0
226,3
227,3
228,3
229,2
230,0
231,0
232,3
233,3
234,0
235,2
236,1
237,3
238,0
239,3
240,0
241,0
242,2
243,0
244,2
245,0
246,3
247,3
248,1
249,3
250,2
251,2
252,0
253,3
254,3
255,0
256,2
257,0
258,3
259,0
260,1
261,3
262,1
263,3
264,0
265,0
266,1
267,0
268,1
269,2
270,2
271,0
272,0
273,0
274,3
275,1
276,0
277,0
278,2
279,3
280,2
281,3
282,2
283,2
284,0
285,1
286,3
287,3
288,1
289,1
290,1
291,0
292,0
293,2
294,0
295,3
296,3
297,1
298,0
299,3
300,1
301,3
302,1
303,0
304,2
305,3
306,0
307,0
308,0
309,3
310,1
311,1
312,1
313,1
314,2
315,0
316,3
317,3
318,3
319,1
320,0
321,2
322,3
323,2
324,1
325,1
326,3
327,0
328,1
329,0
330,3
331,3
332,3
333,3
334,3
335,2
336,3
337,0
338,3
339,1
340,2
341,3
342,0
343,3
344,0
345,1
346,1
347,0
348,3
349,2
350,0
351,3
352,3
353,2
354,3
355,0
356,3
357,3
358,0
359,3
360,0
361,0
362,1
363,3
364,0
365,0
366,3
367,2
368,1
369,3
370,3
371,1
372,2
373,2
374,2
375,3
376,2
377,1
378,2
379,2
380,0
381,3
382,3
383,0
384,1
385,1
386,2
387,1
388,0
389,0
390,3
391,1
392,1
393,3
394,2
395,0
396,2
397,1
398,1
399,3
400,3
401,0
402,0
403,3
404,2
405,1
406,0
407,3
408,3
409,1
410,0
411,2
412,1
413,2
414,0
415,3
416,1
417,3
418,3
419,2
420,3
421,2
422,1
423,2
424,3
425,3
426,0
427,3
428,3
429,2
430,3
431,1
432,2
433,3
434,3
435,3
436,2
437,1
438,0
439,3
440,1
441,0
442,0
443,0
444,2
445,1
446,2
447,2
448,0
449,3
450,1
451,3
452,1
453,3
454,1
455,2
456,0
457,3
458,2
459,3
460,3
461,3
462,1
463,3
464,2
465,1
466,0
467,1
468,2
469,1
470,2
471,1
472,2
473,3
474,0
475,0
476,2
477,3
478,0
479,0
480,3
481,1
482,0
483,3
484,3
485,2
486,2
487,3
488,3
489,3
490,3
491,0
492,0
493,1
494,2
495,3
496,1
497,1
498,2
499,3
500,0
501,0
502,3
503,1
504,3
505,3
506,0
507,0
508,0
509,3
510,1
511,3
512,2
513,1
514,0
515,3
516,0
517,0
518,3
519,2
520,3
521,1
522,3
523,3
524,0
525,3
526,0
527,0
528,2
529,0
530,2
531,3
532,2
533,2
534,0
535,1
536,2
537,0
538,0
539,0
540,3
541,2
542,3
543,0
544,0
545,2
546,0
547,1
548,3
549,3
550,3
551,0
552,3
553,3
554,2
555,0
556,0
557,3
558,0
559,2
560,3
561,3
562,3
563,0
564,0
565,2
566,2
567,3
568,2
569,0
570,2
571,1
572,1
573,3
574,2
575,3
576,1
577,2
578,0
579,2
580,3
581,2
582,0
583,0
584,2
585,1
586,0
587,2
588,2
589,2
590,1
591,0
592,2
593,2
594,0
595,1
596,3
597,1
598,0
599,0
600,3
601,3
602,2
603,1
604,2
605,0
606,1
607,2
608,3
609,2
610,0
