node,title,degree,betweenness
m_2571,"Matrix, The (1999)",0.01894303363074811,0.005928296426263383
m_356,Forrest Gump (1994),0.0182566918325326,0.004443817990523228
m_260,Star Wars: Episode IV - A New Hope (1977),0.017982155113246395,0.005653849094294199
m_296,Pulp Fiction (1994),0.017433081674673986,0.004942217317538327
m_318,"Shawshank Redemption, The (1994)",0.017158544955387784,0.004588349512971647
m_1196,Star Wars: Episode V - The Empire Strikes Back (1980),0.016884008236101578,0.004402559117367949
m_593,"Silence of the Lambs, The (1991)",0.01633493479752917,0.0059015536456106625
m_2959,Fight Club (1999),0.016060398078242964,0.004706983893290978
m_1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0.01564859299931366,0.004367794261554424
m_1210,Star Wars: Episode VI - Return of the Jedi (1983),0.015511324639670556,0.0042898083874236435
m_2028,Saving Private Ryan (1998),0.014824982841455045,0.003146628574638304
m_858,"Godfather, The (1972)",0.01455044612216884,0.004543812309103762
m_2858,American Beauty (1999),0.014413177762525738,0.004842300612253358
m_4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.014138641043239532,0.003729501633915572
m_1270,Back to the Future (1985),0.014138641043239532,0.0033613512534715643
m_7153,"Lord of the Rings: The Return of the King, The (2003)",0.014001372683596431,0.0034148550299709338
m_2762,"Sixth Sense, The (1999)",0.013726835964310225,0.003246053035800163
m_5952,"Lord of the Rings: The Two Towers, The (2002)",0.013589567604667124,0.003579650067077378
m_50,"Usual Suspects, The (1995)",0.013589567604667124,0.0030142599072124237
m_589,Terminator 2: Judgment Day (1991),0.01331503088538092,0.00333978726499801
m_4226,Memento (2000),0.012903225806451613,0.004269580921193568
m_4306,Shrek (2001),0.01276595744680851,0.0031492454854990496
m_1,Toy Story (1995),0.012628689087165409,0.002624193966559761
m_3578,Gladiator (2000),0.012628689087165409,0.002440559486756364
m_47,Seven (a.k.a. Se7en) (1995),0.012628689087165409,0.003142792662717373
m_608,Fargo (1996),0.012491420727522306,0.003048177565189787
m_1265,Groundhog Day (1993),0.012491420727522306,0.002577455753125751
m_1291,Indiana Jones and the Last Crusade (1989),0.012491420727522306,0.0022592948110803754
m_1089,Reservoir Dogs (1992),0.012354152367879203,0.002820163316949944
m_1136,Monty Python and the Holy Grail (1975),0.012216884008236102,0.002991783604752631
m_527,Schindler's List (1993),0.012216884008236102,0.0024528011851913203
m_110,Braveheart (1995),0.012079615648592999,0.002042560122938437
m_480,Jurassic Park (1993),0.012079615648592999,0.0025374735914430154
m_1214,Alien (1979),0.011667810569663692,0.0028923302439660633
m_32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.011530542210020589,0.0033200856030345983
m_1197,"Princess Bride, The (1987)",0.011393273850377488,0.002023343535299827
m_58559,"Dark Knight, The (2008)",0.011393273850377488,0.0022152791074022057
m_6377,Finding Nemo (2003),0.011393273850377488,0.002271108986498834
m_1213,Goodfellas (1990),0.011256005490734385,0.0024112880039947964
m_1704,Good Will Hunting (1997),0.011256005490734385,0.0024278824323892573
m_6874,Kill Bill: Vol. 1 (2003),0.011256005490734385,0.0029790848007640917
m_1240,"Terminator, The (1984)",0.011118737131091284,0.0026336817046122155
m_6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.011118737131091284,0.0031108158593591297
m_1682,"Truman Show, The (1998)",0.010844200411805078,0.002550047597342427
m_1580,Men in Black (a.k.a. MIB) (1997),0.010844200411805078,0.002347380052226033
m_4963,Ocean's Eleven (2001),0.010706932052161977,0.0029048054093718675
m_1206,"Clockwork Orange, A (1971)",0.010706932052161977,0.0026483871295190278
m_5989,Catch Me If You Can (2002),0.010569663692518874,0.001829977878694782
m_1221,"Godfather: Part II, The (1974)",0.010432395332875773,0.0026746022276320676
